CMPS161 ALGORITHM DSGN/IMPLMNT I            A 3.00
ENGL101 FRESHMAN COMPOSITION                B 3.00
MATH200 CALCULUS I                          C 5.00
HIST101 WESTERN CIVILIZATION TO 1500        A 3.00

CMPS 280 ALGORITHM DSGN/IMPLEM II           A 3.00
ENGL 102 CRITICAL READING AND WRIT          A 3.00
MATH 201 CALCULUS II                        A 5.00
CMPS 285 SOFTWARE ENGINEERING               A 3.00

CMPS 290 COMPUTER ORGANIZATION              A 3.00
ENGL 202 AMERICAN LITERATURE                B 3.00
MATH 380 APPLIED STATISTICS WITH PROB.      A 3.00
ECON 202 MICROECONOMICS                     A 3.00
